up,down,total,up10,down10,ROC
32,52,86,40.3,42.2,48.848484848484844
32,50,87,40.0,42.4,48.54368932038835
75,11,87,41.8,41.0,50.48309178743961
34,52,88,42.7,40.3,51.445783132530124
4,84,88,40.6,43.1,48.506571087216244
42,45,89,38.2,45.6,45.58472553699284
59,27,88,41.0,43.2,48.69358669833729
58,30,88,45.3,39.5,53.41981132075472
71,16,89,44.6,40.6,52.34741784037559
18,71,89,42.5,43.8,49.2468134414832
60,26,89,45.3,41.2,52.36994219653179
19,70,89,44.0,43.2,50.458715596330265
36,50,89,40.1,47.1,45.98623853211009
34,53,90,40.1,47.2,45.93356242840779
25,60,89,42.2,44.8,48.50574712643679
82,8,90,46.2,41.1,52.92096219931272
47,44,92,45.0,42.8,51.252847380410024
40,51,92,43.2,44.9,49.03518728717367
90,1,91,45.1,43.4,50.96045197740113
47,41,91,48.0,40.4,54.29864253393666
80,8,91,50.0,38.6,56.433408577878104
41,45,91,52.2,36.1,59.11664779161948
21,68,91,50.7,37.9,57.2234762979684
25,65,92,49.8,39.1,56.01799775028121
73,19,92,54.6,35.0,60.9375
13,79,92,47.7,42.1,53.11804008908686
75,15,92,50.5,39.2,56.29877369007804
52,40,92,51.7,38.1,57.57238307349666
15,77,93,44.2,45.7,49.165739710789765
0,93,93,39.5,50.9,43.69469026548673
43,50,94,35.8,55.1,39.38393839383939
92,1,94,40.9,50.7,44.650655021834055
1,93,94,38.9,53.2,42.236699239956565
70,23,94,43.4,49.0,46.96969696969697
2,93,95,36.3,56.4,39.15857605177993
58,34,95,40.8,51.9,44.01294498381877
5,86,95,33.8,59.0,36.42241379310345
88,5,95,37.4,55.5,40.258342303552205
4,91,95,36.3,56.9,38.94849785407725
72,21,95,43.5,49.7,46.673819742489265
95,0,95,48.7,44.7,52.14132762312634
37,57,95,43.2,50.3,46.20320855614973
4,91,95,43.5,50.1,46.47435897435898
88,7,95,45.3,48.5,48.29424307036247
77,15,95,52.8,40.7,56.470588235294116
3,92,95,47.3,46.5,50.42643923240938
31,63,94,49.9,44.2,53.028692879914985
5,90,95,41.6,52.7,44.114528101802755
93,1,94,50.5,43.7,53.609341825902334
13,81,94,44.6,49.7,47.295864262990456
92,1,94,44.3,49.8,47.07757704569607
44,44,94,45.0,48.5,48.12834224598931
88,5,94,53.4,39.9,57.234726688102896
23,69,94,46.9,46.1,50.43010752688171
27,64,94,41.9,51.0,45.10226049515608
93,0,93,50.9,41.8,54.90830636461704
78,14,93,55.6,36.9,60.10810810810811
37,55,94,58.8,33.4,63.77440347071583
42,47,94,53.7,38.0,58.56052344601963
87,5,92,61.1,30.4,66.77595628415301
21,68,92,54.0,37.1,59.275521405049396
73,13,92,56.9,34.0,62.5962596259626
1,91,92,48.2,42.6,53.08370044052864
63,28,92,52.2,38.5,57.55237045203969
6,86,92,50.1,40.7,55.17621145374449
85,6,92,49.3,41.3,54.4150110375276
92,0,92,50.7,39.9,55.96026490066225
42,45,92,51.2,38.9,56.82574916759157
28,62,92,49.8,40.4,55.21064301552106
76,15,92,48.7,41.4,54.05105438401777
43,45,91,50.9,39.1,56.55555555555556
10,82,92,44.6,46.0,49.22737306843267
4,86,92,44.9,45.5,49.66814159292036
44,43,93,43.0,47.0,47.77777777777777
89,5,94,51.3,38.9,56.87361419068736
30,62,94,45.8,44.5,50.71982281284607
30,61,94,39.6,50.6,43.90243902439024
86,6,94,44.0,46.7,48.511576626240355
86,8,94,49.8,41.3,54.66520307354555
93,0,94,51.5,39.8,56.40744797371303
25,68,94,49.7,42.1,54.13943355119825
55,35,95,54.2,37.4,59.1703056768559
10,82,95,54.8,37.0,59.69498910675381
71,18,93,57.5,34.5,62.50000000000001
22,61,91,50.8,40.1,55.88558855885588
15,75,92,49.3,41.4,54.35501653803748
92,0,92,55.5,35.3,61.12334801762115
52,38,92,52.1,38.5,57.505518763796914
44,46,92,47.9,42.3,53.104212860310426
83,8,92,46.9,43.1,52.11111111111111
41,48,92,48.5,41.1,54.129464285714285
11,78,91,44.1,45.4,49.27374301675978
10,77,91,44.1,44.9,49.55056179775281
89,0,90,45.9,43.1,51.573033707865164
26,63,91,46.3,43.3,51.674107142857146
83,7,91,53.1,36.5,59.26339285714286
68,21,92,50.7,38.6,56.77491601343785
34,54,92,48.9,40.2,54.88215488215488
